id;name;host_id;host_name;distrito;barrio;room_type;price;minimum_nights;availability_365;superficie_km2;densidad_por_km2
1,02876E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;159587607;Miriam;Arganzuela;Atocha;Private room;29;1;254;79;140127
1,02879E+18;Rental unit in Madrid · ?5.0 · 1 bedroom · 1 bed · 1 bath;547340291;David Agente;Centro;Universidad;Entire home/apt;86;2;15;93;3305161
1,0288E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 2 baths;337732371;Alexandra;Centro;Justicia;Private room;120;7;205;75;2186667
1,03019E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 2 baths;25280313;Fernando José;Chamberí;Arapiles;Entire home/apt;81;1;210;57;4243509
1,0302E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 2 baths;458918708;Victoria;Centro;Sol;Entire home/apt;143;1;289;45;1630444
1,0302E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 2 baths;458918708;Victoria;Centro;Sol;Entire home/apt;167;1;292;45;1630444
1,02881E+18;Rental unit in Madrid · ?New · 1 bedroom · 3 beds · 1 bath;22878140;Miguel;Vicálvaro;Casco Histórico de Vicálvaro;Entire home/apt;143;2;267;3293;156657
1,02881E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;547344727;Premier;Centro;Universidad;Entire home/apt;105;1;259;93;3305161
1,02882E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;517394939;Herminia;Carabanchel;San Isidro;Private room;45;1;269;190;1999789
1,02882E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 1 bath;234169324;Fabiana;Centro;Universidad;Entire home/apt;200;21;145;93;3305161
1,02882E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;517394939;Herminia;Carabanchel;San Isidro;Private room;50;1;262;190;1999789
1,02883E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;142175605;Ana;Chamberí;Almagro;Entire home/apt;89;1;175;96;2051771
1,02885E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 2 baths;547346131;Fiteni;Chamberí;Almagro;Entire home/apt;131;1;343;96;2051771
1,03023E+18;Rental unit in Madrid · ?4.67 · 1 bedroom · 1.5 shared baths;467775015;Julian;Centro;Embajadores;Private room;44;1;142;103;4334563
1,03028E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;547667584;Rocio;Salamanca;Recoletos;Entire home/apt;126;4;120;87;1782874
1,02889E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;539803570;Elisa;Centro;Cortes;Private room;47;1;261;59;1785085
1,02891E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;234169324;Fabiana;Salamanca;Fuente del Berro;Entire home/apt;96;21;135;83;2481205
1,03028E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;547361557;Fabricio;Centro;Palacio;Entire home/apt;87;1;344;146;1532329
1,03029E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;161257980;Jaime;Salamanca;Goya;Entire home/apt;100;29;237;77;3801688
1,03031E+18;Rental unit in Madrid · ?New · 3 bedrooms · 5 beds · 3 baths;217067249;Jorge;Centro;Universidad;Entire home/apt;245;2;7;93;3305161
1,03031E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 2 baths;433115599;Santi YNWhere.Com;Ciudad Lineal;Ventas;Entire home/apt;103;3;248;322;1470093
1,03031E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1.5 baths;201878831;Nani;Villaverde;Butarque;Private room;25;7;89;637;270659
1,02894E+18;Rental unit in Madrid · ?New · Studio · 1 bed · 1 bath;518713670;Bemadrid;Arganzuela;Imperial;Entire home/apt;62;30;246;98;2310510
1,02895E+18;Rental unit in Madrid · ?New · Studio · 1 bed · 1 bath;486845705;Juan Ignacio;Chamberí;Almagro;Entire home/apt;100;1;352;96;2051771
1,03032E+18;Rental unit in Madrid · ?New · 3 bedrooms · 1 bath;176057051;David;Retiro;Adelfas;Entire home/apt;123;2;224;61;2975082
1,02896E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 2 baths;346367515;Ukio;Salamanca;Recoletos;Entire home/apt;147;31;226;87;1782874
1,02897E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;258607433;Valentina;Centro;Universidad;Entire home/apt;8;1;51;93;3305161
1,03033E+18;Rental unit in Madrid · ?New · 4 bedrooms · 5 beds · 3 baths;547364180;Carmen;Retiro;Jerónimos;Entire home/apt;553;1;338;189;373069
1,03034E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;547659908;Laila Y Weam;Centro;Cortes;Entire home/apt;131;1;331;59;1785085
1,03035E+18;Home in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;399029789;Haomin;Usera;Almendrales;Private room;24;1;254;75;2748000
1,03037E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 1 bath;547366567;Pablo;Arganzuela;Delicias;Entire home/apt;106;1;341;107;2548505
1,02898E+18;Rental unit in Madrid · ?5.0 · 1 bedroom · 2 beds · 1.5 baths;547372416;Aviva;Retiro;Pacífico;Entire home/apt;124;3;0;76;4427105
1,029E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;499192910;DomIVus;Retiro;Jerónimos;Entire home/apt;135;3;102;189;373069
1,02901E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 private bath;130899387;Arantxa;Salamanca;Lista;Private room;166;1;246;54;3843519
1,03037E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 2 baths;547378218;Home;Salamanca;Recoletos;Entire home/apt;336;1;352;87;1782874
1,03037E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;394687867;Jorge;Chamberí;Gaztambide;Entire home/apt;94;30;263;49;4573265
1,02901E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 shared bath;417464196;Ivan;Hortaleza;Pinar del Rey;Private room;35;1;356;264;1968295
1,02901E+18;Home in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;237371456;Sergio;Arganzuela;Palos de Moguer;Private room;48;2;67;65;3937231
1,02901E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;507731620;David;Usera;Moscardó;Private room;47;1;269;90;2823000
1,02901E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed;218478595;Deisy;Moratalaz;Marroquina;Private room;36;1;89;175;1563371
1,03039E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;48033079;Aloha;Salamanca;Lista;Entire home/apt;111;1;149;54;3843519
1,02908E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;303834693;Alejandro;Centro;Universidad;Private room;160;1;264;93;3305161
1,03039E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;467857546;Nelson;Puente de Vallecas;Entrevías;Private room;30;2;84;595;563697
1,03039E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;199943183;Enrique;Salamanca;Guindalera;Entire home/apt;125;1;262;158;2574051
1,02155E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;545848696;Maria;Retiro;Adelfas;Entire home/apt;110;1;262;61;2975082
1,01823E+18;Rental unit in Madrid · ?New · 5 bedrooms · 10 beds · 3 baths;356248492;Monaro;Centro;Palacio;Entire home/apt;277;1;233;146;1532329
1,01826E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 2 baths;545093584;Adina;Chamberí;Trafalgar;Entire home/apt;126;4;53;62;3956129
1,02156E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;545852577;Mónica;Chamartín;Castilla;Entire home/apt;120;1;164;213;778967
1,01828E+18;Rental unit in Madrid · ?New · Studio · 1 bed · 1 bath;291253690;Fran Y Marta;Chamartín;Hispanoamérica;Entire home/apt;114;1;345;171;1826667
1,02238E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;546005326;Felipe;Chamartín;Ciudad Jardín;Entire home/apt;52;60;146;77;2379481
1,0224E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 bath;529402573;Sara;Salamanca;Recoletos;Entire home/apt;113;1;273;87;1782874
1,02157E+18;Rental unit in Madrid · ?New · 1 bedroom · 3 beds · 1 bath;466052734;Estela;Chamberí;Gaztambide;Entire home/apt;69;1;348;49;4573265
1,02157E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;545848696;Maria;Retiro;Adelfas;Entire home/apt;144;1;270;61;2975082
1,02158E+18;Rental unit in Madrid · ?New · 3 bedrooms · 3 beds · 1 bath;103413270;Rocio;Centro;Embajadores;Entire home/apt;200;3;2;103;4334563
1,02241E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;37299649;Ana;Carabanchel;Comillas;Private room;60;5;11;67;3300000
1,02243E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 3 baths;7238727;Iñigo;Centro;Universidad;Entire home/apt;350;1;253;93;3305161
1,02165E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;168542224;Carlos;Centro;Embajadores;Entire home/apt;110;1;268;103;4334563
1,02166E+18;Rental unit in Madrid · ?New · Studio · 1 bed · 1 bath;331982718;Gema;Centro;Embajadores;Entire home/apt;71;30;235;103;4334563
1,02166E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 1 bath;426355359;Maria;Arganzuela;Palos de Moguer;Entire home/apt;74;28;66;65;3937231
1,02167E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 1 bath;545848696;Maria;Retiro;Adelfas;Entire home/apt;165;1;270;61;2975082
1,02168E+18;Rental unit in Madrid · ?New · 3 bedrooms · 3 beds · 2 baths;545848696;Maria;Retiro;Adelfas;Entire home/apt;178;1;270;61;2975082
1,02168E+18;Rental unit in Madrid · ?New · 3 bedrooms · 3 beds · 2 baths;545848696;Maria;Retiro;Adelfas;Entire home/apt;178;1;270;61;2975082
1,02168E+18;Rental unit in Madrid · ?New · 3 bedrooms · 3 beds · 2 baths;545848696;Maria;Retiro;Adelfas;Entire home/apt;178;1;264;61;2975082
1,02168E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;545877769;SvTourist;Puente de Vallecas;San Diego;Entire home/apt;100;1;70;106;3702736
1,02245E+18;Rental unit in Madrid · ?New · 1 bedroom · 2 beds · 1 shared bath;546021818;Johan Jose;Moratalaz;Marroquina;Private room;33;1;83;175;1563371
1,02249E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 2 baths;238099184;Javier;Retiro;Ibiza;Entire home/apt;190;5;256;50;4269800
1,02269E+18;Home in Madrid · ?4.33 · 1 bedroom · 1 bed · 1 bath;194764985;Diana;Usera;Moscardó;Private room;26;1;0;90;2823000
1,02174E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;533468859;My House Madrid;Retiro;Pacífico;Entire home/apt;121;2;352;76;4427105
1,0218E+18;Home in Madrid · ?5.0 · 1 bedroom · 1 bed · 1 shared bath;542063662;Danny Alfredo;Centro;Universidad;Private room;66;1;17;93;3305161
1,02274E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;36503894;Marta Y Enrique;Centro;Palacio;Entire home/apt;85;1;328;146;1532329
1,02289E+18;Rental unit in Madrid · ?New · Studio · 3 beds · 1 bath;466052734;Estela;Chamberí;Vallehermoso;Entire home/apt;53;1;328;108;1830648
